,depth,gr,d_res,s_res,den
254,123.59640000000002,59.2364,2.5401,2.4362,2.1655
255,123.74880000000002,59.2364,2.5321,2.3821,2.1664
256,123.90120000000002,66.5059,2.525,2.326,2.1469
257,124.05360000000002,69.4142,2.5194,2.2903,2.1154
258,124.20600000000002,68.3119,2.5095,2.2782,2.0973
259,124.35840000000002,65.2596,2.5011,2.2798,2.0974
260,124.51080000000002,64.4004,2.4889,2.2886,2.1072
261,124.66320000000002,64.4638,2.4797,2.3059,2.1128
262,124.81560000000002,65.2375,2.4775,2.3326,2.1208
263,124.96800000000002,64.0745,2.4725,2.363,2.1253
264,125.12040000000002,63.4125,2.4685,2.387,2.1197
265,125.27280000000002,60.4695,2.4637,2.3918,2.0444
266,125.42520000000002,58.6606,2.4572,2.3668,1.9574
267,125.57760000000002,59.4949,2.451,2.3116,1.9402
268,125.73000000000002,61.2214,2.437,2.2406,1.9979
269,125.88240000000002,61.8142,2.3986,2.1778,2.0859
270,126.03480000000002,58.3998,2.3491,2.1433,2.1149
271,126.18720000000002,58.3585,2.3193,2.1419,2.0854
272,126.33960000000002,58.1027,2.3196,2.1608,2.0542
273,126.49200000000002,61.3593,2.3358,2.1816,2.0841
274,126.64440000000002,62.3323,2.3436,2.1967,2.1251
275,126.79680000000002,63.3112,2.3333,2.2123,2.1027
276,126.94920000000002,61.4759,2.3328,2.2329,2.0349
277,127.10160000000002,59.4702,2.3574,2.2542,1.9782
278,127.25400000000002,60.0052,2.3703,2.2692,1.9797
279,127.40640000000002,58.643,2.3688,2.2748,2.0316
280,127.55880000000002,61.381,2.3684,2.2736,2.0908
281,127.71120000000002,63.2006,2.3684,2.27,2.1239
282,127.86360000000002,64.9241,2.3672,2.2611,2.0859
283,128.01600000000002,63.5076,2.3627,2.2395,2.0697
284,128.16840000000002,63.366,2.3341,2.2088,2.0794
285,128.32080000000002,64.3451,2.3106,2.1862,2.0756
286,128.47320000000002,64.2347,2.3079,2.186,2.0678
287,128.62560000000002,63.4487,2.3026,2.2067,2.0742
288,128.77800000000002,62.2485,2.3037,2.2336,2.1161
289,128.93040000000002,61.8061,2.3067,2.2503,2.0936
290,129.08280000000002,59.9278,2.314,2.2469,2.0438
291,129.23520000000002,62.2914,2.3141,2.2185,2.0154
292,129.38760000000002,61.7658,2.2999,2.1695,2.04
293,129.54000000000002,63.4373,2.3084,2.1186,2.0861
294,129.69240000000002,60.3233,2.3214,2.0883,2.1154
295,129.84480000000002,60.9389,2.312,2.0866,2.1497
296,129.99720000000002,61.9913,2.2939,2.1013,2.1716
297,130.14960000000002,62.9301,2.2891,2.1105,2.1159
298,130.30200000000002,65.674,2.2945,2.1061,2.0127
299,130.45440000000002,66.7614,2.3004,2.1111,1.9337
300,130.60680000000002,70.428,2.3172,2.1664,1.9552
301,130.75920000000002,69.8039,2.3688,2.301,2.0315
302,130.91160000000002,66.1736,2.4732,2.5151,2.0976
303,131.06400000000002,62.5661,2.6009,2.7692,2.1044
304,131.21640000000002,61.3133,2.7405,2.9799,2.1262
305,131.36880000000002,60.4834,2.8745,3.0665,2.1842
306,131.52120000000002,58.533,3.0406,3.0329,2.2542
307,131.67360000000002,55.4014,3.1819,2.9562,2.2566
308,131.82600000000002,55.3583,3.2235,2.9115,2.2158
309,131.97840000000002,54.4895,3.2317,2.9306,2.1948
310,132.13080000000002,57.4051,3.2773,2.9913,2.2109
311,132.28320000000002,60.559,3.3048,3.0206,2.2417
312,132.43560000000002,62.3489,3.2428,2.9507,2.2806
313,132.58800000000002,61.6841,3.029,2.7905,2.2901
314,132.74040000000002,60.4344,2.84,2.6141,2.2333
315,132.89280000000002,62.2497,2.7816,2.4913,2.1545
316,133.04520000000002,62.0434,2.8508,2.4474,2.0906
317,133.19760000000002,63.5711,2.9354,2.4686,2.069
318,133.35000000000002,62.9668,2.9718,2.5246,2.0694
319,133.50240000000002,63.4644,2.8555,2.589,2.0999
320,133.65480000000002,62.5058,2.7477,2.6476,2.1498
321,133.80720000000002,65.1987,2.8088,2.6938,2.2014
322,133.95960000000002,66.4188,2.8537,2.7175,2.2345
323,134.11200000000002,66.3187,2.8603,2.7072,2.2263
324,134.26440000000002,63.932,2.8024,2.6691,2.2084
325,134.41680000000002,63.8313,2.7156,2.6309,2.1357
326,134.56920000000002,63.0111,2.6924,2.6172,2.075
327,134.72160000000002,64.5344,2.7426,2.6342,2.0485
328,134.87400000000002,65.429,2.8291,2.6703,2.057
329,135.02640000000002,64.6431,2.8254,2.7005,2.0678
330,135.17880000000002,65.3745,2.8174,2.7027,2.069
331,135.33120000000002,65.5017,2.8197,2.6749,2.1232
332,135.48360000000002,67.9779,2.8294,2.6326,2.1838
333,135.63600000000002,66.0946,2.8801,2.5965,2.2409
334,135.78840000000002,65.8954,2.8667,2.5834,2.2526
335,135.94080000000002,62.6227,2.8599,2.5937,2.2245
336,136.09320000000002,62.0381,2.8326,2.6075,2.204
337,136.24560000000002,62.3726,2.815,2.6048,2.1846
338,136.39800000000002,65.3591,2.7917,2.5878,2.1845
339,136.55040000000002,65.5184,2.7796,2.579,2.1739
340,136.70280000000002,64.2984,2.7958,2.5984,2.1682
341,136.85520000000002,65.0657,2.8019,2.6425,2.1553
342,137.00760000000002,67.1701,2.797,2.6847,2.1467
343,137.16000000000003,67.6636,2.7898,2.6971,2.1547
344,137.31240000000003,67.634,2.8059,2.6752,2.1703
345,137.46480000000003,67.3337,2.8009,2.6403,2.1861
346,137.61720000000003,68.0816,2.8296,2.6184,2.1886
347,137.76960000000003,66.5985,2.8363,2.6166,2.1826
348,137.92200000000003,65.1987,2.8473,2.6213,2.2025
349,138.07440000000003,64.6302,2.8295,2.6206,2.1993
350,138.22680000000003,64.3433,2.7955,2.6157,2.1392
351,138.37920000000003,65.4622,2.7814,2.6132,2.1125
352,138.53160000000003,65.828,2.7927,2.6182,2.1228
353,138.68400000000003,67.9137,2.8,2.6308,2.1617
354,138.83640000000003,67.0634,2.7857,2.6435,2.1574
355,138.98880000000003,68.6878,2.7701,2.6494,2.1553
356,139.14120000000003,68.8032,2.7613,2.6528,2.1741
357,139.29360000000003,70.5146,2.7613,2.6581,2.1622
358,139.44600000000003,69.4684,2.778,2.6615,2.125
359,139.59840000000003,67.9332,2.7973,2.6693,2.1043
360,139.75080000000003,66.3198,2.8163,2.7092,2.1416
361,139.90320000000003,66.5989,2.8493,2.8157,2.1782
362,140.05560000000003,66.4986,2.9346,3.0056,2.1884
363,140.20800000000003,68.752,3.0654,3.2545,2.1911
364,140.36040000000003,67.2888,3.1904,3.4867,2.1643
365,140.51280000000003,67.648,3.1963,3.6187,2.1632
366,140.66520000000003,64.9072,3.2011,3.6179,2.204
367,140.81760000000003,63.8549,3.187,3.4859,2.2277
368,140.97000000000003,63.2442,3.1745,3.242,2.1922
369,141.12240000000003,62.966,3.1463,2.9515,2.1379
370,141.27480000000003,62.9866,3.1335,2.7051,2.1342
371,141.42720000000003,63.3288,3.117,2.5621,2.1309
372,141.57960000000003,65.3501,3.0195,2.5265,2.0855
373,141.73200000000003,66.6277,2.7646,2.5581,2.0794
374,141.88440000000003,68.1987,2.766,2.5986,2.1353
375,142.03680000000003,67.1258,2.8275,2.605,2.2134
376,142.18920000000003,67.1545,2.7852,2.5715,2.1756
377,142.34160000000003,68.4483,2.873,2.5338,2.1451
378,142.49400000000003,68.5486,2.906,2.5533,2.1317
379,142.64640000000003,67.7462,3.033,2.6817,2.14
380,142.79880000000003,64.5946,3.1892,2.9359,2.1665
381,142.95120000000003,62.6681,3.3023,3.2738,2.242
382,143.10360000000003,61.2959,3.3635,3.5475,2.3428
383,143.25600000000003,60.1863,3.3527,3.572,2.3618
384,143.40840000000003,58.0083,3.2123,3.3619,2.3297
385,143.56080000000003,54.7005,2.9763,3.0868,2.2672
386,143.71320000000003,52.5532,2.8766,2.834,2.2267
387,143.86560000000003,52.2524,2.8662,2.6047,2.1291
388,144.01800000000003,54.8351,2.7881,2.3932,2.0654
