,depth,gr,d_res,s_res,den,vp
916,139.5984,17.1921,0.6625,0.6513,1.5426,1.8674
917,139.7508,17.0269,0.6451,0.6339,1.5426,1.8819
918,139.9032,16.8112,0.6271,0.6163,1.5144,1.8725
919,140.0556,17.6598,0.6143,0.5995,1.4862,1.8568
920,140.208,18.9142,0.6023,0.5851,1.4831,1.8265
921,140.3604,20.1569,0.5913,0.5723,1.5772,1.8285
922,140.5128,20.2631,0.5835,0.56,1.5408,1.781
923,140.6652,21.4554,0.5898,0.5509,1.4596,1.7821
924,140.8176,22.1103,0.5931,0.5498,1.3333,1.7965
925,140.97,24.3981,0.5998,0.5604,1.3502,1.7551
926,141.1224,24.1742,0.617,0.585,1.4937,1.8825
927,141.2748,25.4431,0.6299,0.622,1.5942,1.8036
928,141.4272,25.5413,0.6384,0.6598,1.5724,1.8428
929,141.5796,25.835,0.6304,0.6788,1.4624,1.9107
930,141.732,26.1157,0.6237,0.6663,1.4056,1.9909
931,141.8844,26.3558,0.6182,0.6295,1.4084,2.0678
932,142.0368,27.9929,0.6039,0.5872,1.3777,2.0914
933,142.1892,25.96,0.5864,0.5533,1.351,2.004
938,142.9512,25.1695,0.5086,0.499,1.4976,1.7571
939,143.1036,21.9951,0.5105,0.4992,1.4461,1.7588
940,143.256,21.7641,0.5121,0.5028,1.3283,1.7588
941,143.4084,21.6398,0.5199,0.5086,1.3378,1.7933
942,143.5608,24.4029,0.5286,0.5154,1.359,1.742
943,143.7132,25.2487,0.5385,0.5235,1.3785,1.7895
944,143.8656,24.5266,0.5488,0.5348,1.4077,1.8205
945,144.018,24.3988,0.5666,0.5515,1.4344,1.8386
946,144.1704,24.3977,0.5981,0.5754,1.442,1.845
947,144.3228,25.3723,0.625,0.6077,1.4435,1.8478
948,144.4752,26.2583,0.6418,0.6476,1.4374,1.8569
949,144.6276,27.8612,0.6616,0.6895,1.4325,1.9128
950,144.78,28.3943,0.6771,0.723,1.4363,2.1166
951,144.9324,27.738,0.6972,0.7372,1.4664,2.1354
952,145.0848,26.7643,0.71,0.7317,1.5071,2.198
953,145.2372,27.338,0.7321,0.7186,1.5339,2.1284
954,145.3896,29.1671,0.7349,0.7123,1.5391,1.9809
955,145.542,30.6738,0.7298,0.7179,1.5419,1.9651
956,145.6944,30.6909,0.7177,0.7292,1.541,1.9439
957,145.8468,28.5625,0.7108,0.7342,1.539,2.0618
958,145.9992,26.6689,0.7092,0.7251,1.5486,2.0548
959,146.1516,27.0363,0.7055,0.7044,1.5518,1.8935
960,146.304,28.1373,0.701,0.6807,1.5558,1.8929
961,146.4564,29.4534,0.6789,0.6602,1.5467,1.9709
966,147.2184,28.326,0.6232,0.5822,1.8077,1.9696
967,147.3708,27.7687,0.6319,0.586,1.6906,1.9402
968,147.5232,28.7139,0.6562,0.6115,1.5252,1.9113
969,147.6756,28.7565,0.67,0.662,1.4692,2.1079
970,147.828,31.7998,0.6942,0.7345,1.4364,2.0585
971,147.9804,31.8565,0.7242,0.8145,1.4281,2.2599
972,148.1328,32.2305,0.7491,0.8728,1.4611,2.3697
973,148.2852,28.7719,0.752,0.882,1.4957,2.3717
974,148.4376,25.5836,0.7484,0.8411,1.4894,2.2558
975,148.59,26.5054,0.7534,0.7749,1.4498,2.0772
976,148.7424,27.5607,0.7467,0.7113,1.403,1.8945
977,148.8948,30.3242,0.735,0.665,1.4097,1.7698
978,149.0472,29.424,0.7097,0.6359,1.4462,1.7705
979,149.1996,29.7989,0.6572,0.6169,1.4816,1.756
980,149.352,29.9397,0.6415,0.6022,1.478,1.7961
981,149.5044,31.1418,0.6179,0.5903,1.4657,1.7861
982,149.6568,31.0231,0.6128,0.5826,1.4577,1.7927
983,149.8092,31.117,0.6118,0.5804,1.468,1.8365
984,149.9616,30.563,0.6195,0.5834,1.4897,1.8283
985,150.114,32.1164,0.6218,0.5893,1.5069,1.8131
986,150.2664,31.4485,0.6227,0.595,1.5227,1.769
987,150.4188,29.0366,0.6237,0.5981,1.5321,1.7695
988,150.5712,28.1639,0.624,0.5974,1.5491,1.7697
989,150.7236,27.0158,0.6251,0.5938,1.5608,1.7665
990,150.876,28.8572,0.629,0.59,1.5342,1.7663
991,151.0284,27.6799,0.6326,0.5888,1.5012,1.7411
992,151.1808,27.585,0.634,0.5922,1.4567,1.789
993,151.3332,26.3635,0.637,0.5996,1.4598,1.799
994,151.4856,27.7293,0.6426,0.6089,1.48,1.8024
995,151.638,28.3175,0.6444,0.6173,1.5073,1.7757
996,151.7904,30.2785,0.6452,0.6225,1.5158,1.7162
997,151.9428,29.4819,0.6457,0.6235,1.5144,1.7143
998,152.0952,31.6346,0.6454,0.6205,1.5295,1.7016
999,152.2476,29.1806,0.6438,0.6147,1.5632,1.6879
1000,152.4,28.43,0.641,0.608,1.5799,1.7447
1001,152.5524,27.9537,0.6368,0.6021,1.5809,1.699
1002,152.7048,29.3605,0.6288,0.5977,1.552,1.8832
1003,152.8572,29.66,0.6218,0.5942,1.5304,1.81
1013,154.3812,31.1808,0.6225,0.5981,1.8335,1.7237
1014,154.5336,30.8851,0.6243,0.5997,1.6807,1.7532
1015,154.686,30.3397,0.6247,0.5984,1.5553,1.7112
1016,154.8384,29.1199,0.6226,0.5944,1.5792,1.749
1017,154.9908,28.8709,0.6224,0.5889,1.5888,1.7693
1018,155.1432,30.6176,0.6245,0.584,1.596,1.7726
1019,155.2956,31.1887,0.6274,0.5828,1.5946,1.7856
1020,155.448,30.2605,0.6299,0.5871,1.6046,1.8208
1021,155.6004,28.4017,0.6297,0.5962,1.6069,1.8121
1022,155.7528,28.8023,0.6286,0.6069,1.5993,1.8659
1023,155.9052,30.6476,0.6272,0.6141,1.5818,1.8425
1024,156.0576,30.8105,0.6272,0.6143,1.5732,1.8167
1025,156.21,30.2479,0.6271,0.6077,1.557,1.961
1026,156.3624,28.777,0.6242,0.5974,1.5413,1.9414
1027,156.5148,28.2382,0.6208,0.5871,1.5149,1.9669
1028,156.6672,28.871,0.6147,0.5796,1.5282,1.8631
1029,156.8196,29.4516,0.6104,0.5759,1.5593,1.8134
1030,156.972,32.0622,0.6097,0.5755,1.6111,1.915
1031,157.1244,32.1025,0.6091,0.5788,1.6314,1.8495
1032,157.2768,34.0119,0.6216,0.5877,1.6031,1.8622
1033,157.4292,31.3497,0.6341,0.6056,1.5342,1.934
1034,157.5816,29.7343,0.653,0.634,1.4742,1.986
1035,157.734,28.8277,0.6582,0.669,1.4842,2.0375
1036,157.8864,30.1,0.6592,0.6988,1.5252,2.1461
