,depth,gr,d_res,s_res,den,vp
160,386.639,16.8865,0.8539,1.1778,2.2156,3.1917
161,386.7914,16.8497,0.9132,1.2564,2.1995,3.1917
162,386.9438,18.3239,0.9254,1.2571,2.0232,3.1228
163,387.0962,19.2417,0.8875,1.1996,1.8259,3.0693
164,387.2486,19.8354,0.8313,1.1238,1.8394,2.9412
165,387.401,21.2163,0.7785,1.0482,1.9539,2.5325
166,387.5534,23.2605,0.7359,0.9675,2.1933,2.5034
167,387.7058,26.5215,0.7079,0.8767,2.1913,2.4662
168,387.8582,32.0487,0.6895,0.7888,2.1888,2.4399
169,388.0106,40.3928,0.6776,0.7271,2.1875,2.3241
170,388.163,42.4972,0.6734,0.7082,2.1848,2.2922
171,388.3154,40.2257,0.6713,0.7426,2.182,2.331
172,388.4678,32.1828,0.6747,0.8213,2.178,2.3275
173,388.6202,29.0656,0.686,0.9078,2.2057,2.7668
174,388.7726,25.5631,0.7038,0.9476,2.2098,2.2844
175,388.925,24.1661,0.7115,0.9193,2.173,2.4084
176,389.0774,22.311,0.6962,0.8546,1.9978,2.542
177,389.2298,22.2537,0.6765,0.7909,1.8973,2.6809
178,389.3822,21.7585,0.6588,0.7421,1.8473,2.7227
179,389.5346,21.0668,0.641,0.7075,1.8721,2.4449
180,389.687,19.6334,0.6168,0.683,1.8646,2.3917
181,389.8394,18.9693,0.5966,0.6655,1.8402,2.4994
182,389.9918,20.6033,0.5799,0.6527,1.8288,2.4381
183,390.1442,21.654,0.5694,0.6423,1.8411,2.3352
184,390.2966,21.7979,0.5663,0.6328,1.8538,2.0725
185,390.449,21.3559,0.5662,0.6258,1.8518,2.147
186,390.6014,22.2558,0.5674,0.6235,1.8288,2.166
187,390.7538,23.9767,0.5703,0.6269,1.7924,2.1676
188,390.9062,24.4767,0.5762,0.6341,1.7975,2.2408
189,391.0586,23.752,0.586,0.6429,1.8481,2.5383
190,391.211,22.3333,0.5983,0.6524,1.9251,2.6121
191,391.3634,21.3489,0.608,0.6623,1.9849,2.6743
192,391.5158,21.5176,0.6135,0.6706,2.0264,2.5823
193,391.6682,21.8615,0.6166,0.6721,2.0647,2.4387
194,391.8206,21.8897,0.6163,0.6607,2.0639,2.3495
195,391.973,21.8112,0.6095,0.6357,2.0101,2.2618
196,392.1254,20.7481,0.5977,0.6029,1.9174,2.3087
197,392.2778,21.3868,0.5887,0.5716,1.8355,2.1419
198,392.4302,22.4634,0.5877,0.5492,1.7668,2.1787
199,392.5826,24.26,0.5926,0.5411,1.7151,2.1893
200,392.735,23.3739,0.601,0.5528,1.7501,2.1501
201,392.8874,22.8555,0.6126,0.5901,1.8054,2.2583
202,393.0398,23.2273,0.6278,0.6563,1.8819,2.4287
203,393.1922,25.4322,0.6388,0.7406,1.8822,2.5756
