,depth,gr,d_res,s_res,den
1338,203.98409999999998,53.6718,0.3985,0.4351,1.5257
1339,204.13649999999998,58.3332,0.3981,0.4361,1.5861
1340,204.28889999999998,62.1717,0.3982,0.4363,1.6479
1341,204.44129999999998,62.6423,0.3999,0.436,1.7214
1342,204.59369999999998,62.556,0.3998,0.4355,1.8109
1343,204.74609999999998,60.8828,0.3997,0.4348,1.9005
1344,204.89849999999998,62.7986,0.3992,0.4341,2.003
1345,205.05089999999998,61.4892,0.399,0.4333,1.7615
1346,205.20329999999998,63.2196,0.3993,0.4325,1.545
1347,205.35569999999998,61.9404,0.398,0.4318,1.3791
1348,205.50809999999998,63.7162,0.3975,0.4313,1.357
1349,205.66049999999998,62.3925,0.3974,0.4312,1.3584
1350,205.81289999999998,59.2061,0.3971,0.4314,1.3641
1351,205.96529999999998,56.8615,0.3973,0.4319,1.3759
1352,206.11769999999999,54.5115,0.3971,0.4324,1.4005
1353,206.27009999999999,54.6231,0.3973,0.4328,1.4746
1354,206.42249999999999,54.4504,0.3974,0.4328,1.5728
1355,206.57489999999999,53.387,0.3981,0.4324,1.7265
1356,206.72729999999999,54.6989,0.3986,0.4319,1.8815
1357,206.87969999999999,51.8488,0.3989,0.4317,1.823
1358,207.03209999999999,53.2612,0.3995,0.4321,1.6158
1359,207.18449999999999,55.1844,0.3998,0.4333,1.4294
1360,207.33689999999999,60.5011,0.3999,0.4349,1.3847
1361,207.4893,63.4041,0.4002,0.4364,1.407
1362,207.6417,62.5385,0.4012,0.4372,1.4337
1363,207.7941,60.6884,0.4015,0.4373,1.5093
1364,207.9465,61.6079,0.4009,0.4367,1.6375
1365,208.0989,63.696,0.4012,0.4358,1.8364
1366,208.2513,64.5953,0.4005,0.4349,1.7032
1367,208.4037,62.0493,0.4001,0.4342,1.5345
1368,208.5561,60.4411,0.3998,0.4337,1.3796
1369,208.7085,58.4247,0.3988,0.4334,1.3765
1370,208.8609,58.464,0.398,0.433,1.3649
1371,209.0133,55.585,0.3974,0.4326,1.3639
1372,209.1657,55.3083,0.397,0.4322,1.3638
1373,209.3181,53.8553,0.3967,0.4318,1.3656
1374,209.4705,53.8106,0.3964,0.4313,1.3562
1375,209.6229,51.0968,0.3955,0.4308,1.3482
1376,209.7753,50.4969,0.3948,0.4304,1.3455
1377,209.9277,48.7795,0.3947,0.4301,1.3438
1378,210.0801,48.0113,0.3945,0.4296,1.3494
1379,210.2325,45.7923,0.3943,0.4289,1.3525
