,depth,gr,d_res,s_res,den,vp
17,92.5068,57.8438,0.873,0.8618,1.7002,1.5742
18,92.6592,58.7813,0.8672,0.8594,1.7012,1.5742
19,92.8116,59.4375,0.8643,0.8599,1.6992,1.5742
20,92.964,59.1875,0.8604,0.8608,1.6738,1.5742
21,93.1164,60.0313,0.8623,0.8613,1.624,1.5742
22,93.2688,58.8438,0.8887,0.8633,1.5977,1.5742
23,93.4212,58.9063,0.8999,0.8643,1.5986,1.5742
24,93.5736,57.9688,0.9014,0.8677,1.6387,1.5721
25,93.726,58.6875,0.9014,0.8755,1.6963,1.5696
26,93.8784,59.0,0.9072,0.8843,1.7041,1.5691
27,94.0308,56.9063,0.9185,0.9053,1.7266,1.5691
28,94.1832,60.75,0.9155,0.9077,1.7119,1.5666
29,94.3356,63.5,0.9072,0.8833,1.7559,1.5681
30,94.488,71.75,0.9033,0.876,1.7578,1.5706
31,94.6404,72.1875,0.9038,0.876,1.7549,1.5732
32,94.7928,71.5625,0.9009,0.877,1.7539,1.5721
33,94.9452,68.5625,0.8911,0.874,1.7656,1.5701
34,95.0976,69.3125,0.8833,0.8706,1.7695,1.5732
35,95.25,70.75,0.8711,0.875,1.7725,1.5793
36,95.4024,67.4375,0.8813,0.875,1.7813,1.5783
37,95.5548,65.3125,0.8887,0.8799,1.8066,1.5757
38,95.7072,62.0625,0.8906,0.8828,1.8291,1.5747
39,95.8596,61.0,0.8882,0.8862,1.8281,1.5747
40,96.012,59.7813,0.8901,0.8916,1.8105,1.5757
41,96.1644,59.5938,0.8955,0.8911,1.8037,1.5752
42,96.3168,59.6875,0.894,0.8926,1.8086,1.5808
43,96.4692,61.375,0.896,0.8926,1.8145,1.588
44,96.6216,61.75,0.8965,0.8911,1.8184,1.5927
45,96.774,65.4375,0.896,0.8911,1.8164,1.5906
46,96.9264,64.8125,0.894,0.8926,1.8154,1.5906
47,97.0788,63.0313,0.894,0.8916,1.8135,1.5885
48,97.2312,64.6875,0.895,0.8916,1.8096,1.5839
49,97.3836,67.0,0.8945,0.894,1.8135,1.5829
50,97.536,67.1875,0.895,0.8911,1.8135,1.5839
51,97.6884,63.5938,0.896,0.8901,1.8037,1.587
52,97.8408,62.0313,0.8931,0.8862,1.7949,1.5849
53,97.9932,62.625,0.8877,0.8818,1.7949,1.5839
54,98.1456,60.375,0.8862,0.8774,1.8008,1.5839
55,98.298,55.4375,0.8955,0.8726,1.7998,1.5854
56,98.4504,52.1875,0.8901,0.8691,1.7881,1.5839
57,98.6028,52.75,0.8848,0.8687,1.7783,1.5818
58,98.7552,54.2813,0.8901,0.8677,1.7627,1.5813
59,98.9076,56.125,0.8936,0.8721,1.7549,1.5793
60,99.06,55.5625,0.8916,0.876,1.7451,1.5793
61,99.2124,51.5938,0.8936,0.877,1.7695,1.5732
62,99.3648,48.25,0.8926,0.8828,1.7852,1.5696
63,99.5172,45.7188,0.8911,0.8818,1.752,1.5681
64,99.6696,47.6563,0.9014,0.8794,1.7197,1.5631
65,99.822,47.5625,0.9087,0.8877,1.6865,1.5541
66,99.9744,48.0938,0.9121,0.9014,1.6895,1.5565
67,100.1268,45.8125,0.9131,0.9028,1.6855,1.5537
