,depth,gr,d_res,s_res,den
2744,424.43400000000025,5.1192,53.124,67.0902,2.9316
2745,424.58640000000025,4.9321,68.7374,84.2958,2.9395
2746,424.73880000000025,5.9054,101.6041,119.5821,2.9434
2747,424.89120000000025,6.6956,115.5722,133.599,2.9238
2748,425.04360000000025,6.9311,128.4645,142.044,2.8125
2749,425.19600000000025,6.7181,176.8529,184.7065,2.6562
2750,425.34840000000025,5.5212,101.4183,132.9873,2.6465
2751,425.50080000000025,5.3975,74.6219,98.6512,2.6563
2752,425.65320000000025,3.964,106.5648,135.6437,2.7285
2753,425.80560000000025,4.2498,101.1097,134.5243,2.7989
2754,425.95800000000025,3.8456,126.1894,153.6324,2.959
2755,426.11040000000025,4.4555,78.9759,100.291,3.0176
2756,426.26280000000025,4.0197,79.4609,97.6992,3.0117
2757,426.41520000000025,3.9484,132.0528,153.568,2.998
2758,426.56760000000025,3.3238,190.9945,204.8471,2.9922
2759,426.72000000000025,3.7225,634.6382,498.2692,3.002
2760,426.87240000000025,4.7446,593.5238,551.8901,3.0098
2761,427.02480000000025,4.6322,221.5705,248.671,3.0
2762,427.17720000000025,3.9172,175.8737,181.28,2.9668
2763,427.32960000000026,2.9835,185.8323,185.2646,2.9473
2764,427.48200000000026,2.8759,231.9409,220.2527,2.957
2765,427.63440000000026,3.2786,436.2713,366.8341,2.9844
2766,427.78680000000026,3.0567,1951.2738,972.3376,2.9648
2767,427.93920000000026,2.9674,3137.2065,1201.6151,2.9355
2768,428.09160000000026,3.5152,2747.679,1073.9469,2.9199
2769,428.24400000000026,3.8985,2642.5535,1027.6851,2.918
2770,428.39640000000026,4.486,3443.0605,1061.6812,2.9102
2771,428.54880000000026,4.9211,12299.7578,1809.0905,2.9199
2772,428.70120000000026,5.4522,893.4845,835.8541,2.9238
2773,428.85360000000026,5.2749,427.1518,371.7342,2.9375
2774,429.00600000000026,4.1448,533.9751,428.7959,2.9414
2775,429.15840000000026,3.5962,503.989,420.0304,2.959
2776,429.31080000000026,3.4584,444.9018,364.9125,2.9766
2777,429.46320000000026,3.9227,1599.4218,690.5541,2.9805
2778,429.61560000000026,3.9977,3442.468,750.4606,3.0293
2779,429.76800000000026,4.6405,188.0535,242.9312,3.0664
2780,429.92040000000026,4.9886,218.3453,228.4798,3.041
2781,430.07280000000026,5.5865,222.526,251.4466,3.0078
2782,430.22520000000026,6.0191,331.8998,300.9989,2.9629
2783,430.37760000000026,5.5564,849.5598,660.4893,2.959
2784,430.53000000000026,4.8384,279.3801,350.8493,2.9531
2785,430.68240000000026,3.5199,78.1395,103.7156,2.9727
2786,430.83480000000026,2.8493,83.7009,106.2694,2.9922
2787,430.98720000000026,2.277,90.0952,114.1105,2.9941
2788,431.13960000000026,2.1636,108.065,128.7584,2.9746
2789,431.29200000000026,2.4682,539.8784,440.868,2.9531
2790,431.44440000000026,2.4303,1293.0895,812.3734,2.916
2791,431.59680000000026,2.4762,1952.5481,926.7588,2.9023
2792,431.74920000000026,2.254,2956.7151,1028.8154,2.9023
2793,431.90160000000026,2.6603,4417.5576,1103.722,2.9219
2794,432.05400000000026,3.3702,5764.7373,1116.1293,2.9297
2795,432.20640000000026,3.5386,3436.0894,965.364,2.9297
2796,432.35880000000026,3.3812,582.3579,468.7136,2.9297
2797,432.51120000000026,2.6955,150.4921,176.5589,2.9492
2798,432.66360000000026,2.6348,85.4657,107.895,2.9863
2799,432.81600000000026,3.5797,86.7543,109.8277,2.9961
2800,432.96840000000026,3.9463,91.5491,114.7467,2.9551
2801,433.12080000000026,4.9284,112.7296,126.868,2.9297
2802,433.27320000000026,4.3658,138.8184,172.8011,2.9551
2803,433.42560000000026,4.7192,73.4028,107.9316,2.9707
2804,433.57800000000026,4.0835,81.4869,102.6265,2.9609
2805,433.73040000000026,3.7107,87.6659,109.1617,2.9219
2806,433.88280000000026,3.1684,161.3279,142.9613,2.9258
2807,434.03520000000026,3.3357,556.3682,428.3333,2.9297
2808,434.18760000000026,3.6698,523.7952,405.4269,2.9121
2809,434.34000000000026,3.394,568.3619,394.1164,2.8984
2810,434.49240000000026,3.7515,420.5247,290.0126,2.8828
2811,434.64480000000026,4.7541,437.9568,284.5456,2.9102
2812,434.79720000000026,5.563,582.2117,356.4253,2.8906
2813,434.94960000000026,6.494,787.7625,454.0286,2.8594
2814,435.10200000000026,6.6947,1643.5684,666.0903,2.8145
2815,435.25440000000026,7.1576,5410.1206,921.0065,2.8242
2816,435.40680000000026,5.8959,8223.9551,1098.394,2.8438
2817,435.55920000000026,4.853,6742.8965,2811.9739,2.8672
2818,435.71160000000026,3.9857,12.3919,7269.8882,2.8867
2819,435.86400000000026,3.422,74.9763,106.1629,2.9473
2820,436.01640000000026,2.8944,61.7907,74.4993,2.959
2821,436.16880000000026,2.8875,50.6971,67.1047,3.0078
