,depth,gr,d_res,s_res,den
642,97.8408,106.219,1.0117,1.0703,2.6816
643,97.9932,97.7067,1.0117,1.0703,2.666
644,98.1456,94.7827,1.0254,1.0615,2.666
645,98.298,95.1115,1.04,1.0527,2.6387
646,98.4504,100.2819,1.0605,1.0703,2.6191
647,98.6028,100.3737,1.083,1.1221,2.6152
648,98.7552,97.7293,1.1025,1.1943,2.5684
649,98.9076,91.1287,1.1191,1.2578,2.5449
650,99.06,91.0838,1.1328,1.2812,2.5078
651,99.2124,92.0168,1.1416,1.2598,2.5078
652,99.3648,100.2231,1.1445,1.2129,2.5098
653,99.5172,100.1244,1.1406,1.1631,2.5117
654,99.6696,102.5182,1.1299,1.124,2.5176
655,99.822,99.077,1.1123,1.1006,2.5195
656,99.9744,101.3311,1.0957,1.0928,2.5176
657,100.1268,101.1254,1.0859,1.0986,2.5078
658,100.2792,102.0868,1.0811,1.1123,2.5098
659,100.4316,96.6528,1.0801,1.126,2.5156
660,100.584,95.0269,1.082,1.1357,2.5195
661,100.7364,93.8213,1.085,1.1406,2.5137
662,100.8888,95.4366,1.0889,1.1406,2.5059
663,101.0412,94.026,1.0947,1.1396,2.5098
664,101.1936,91.8736,1.0986,1.1387,2.5195
665,101.346,89.4752,1.0967,1.1387,2.5273
666,101.4984,85.7,1.0908,1.1367,2.5391
667,101.6508,85.7796,1.0859,1.1338,2.5527
668,101.8032,87.2348,1.085,1.1299,2.5645
669,101.9556,88.8146,1.0859,1.127,2.5625
670,102.108,89.4115,1.0889,1.127,2.5547
671,102.2604,90.7147,1.0928,1.1289,2.5566
672,102.4128,87.3649,1.0977,1.1348,2.5684
673,102.5652,80.4163,1.1006,1.1436,2.5879
674,102.7176,83.2263,1.1035,1.1543,2.5723
675,102.87,90.4774,1.1064,1.1631,2.5586
676,103.0224,94.5792,1.1152,1.1699,2.5391
677,103.1748,95.0539,1.1299,1.1719,2.5469
678,103.3272,94.8646,1.1436,1.1709,2.5684
679,103.4796,97.8719,1.1563,1.1709,2.5781
680,103.632,93.865,1.1709,1.1709,2.584
681,103.7844,91.7254,1.1836,1.1738,2.5645
682,103.9368,96.9078,1.2021,1.1816,2.5566
683,104.0892,99.5417,1.2275,1.1992,2.541
684,104.2416,101.5479,1.251,1.2334,2.543
685,104.394,95.9241,1.2676,1.2832,2.5723
686,104.5464,91.5507,1.2783,1.3428,2.6055
687,104.6988,89.7713,1.2949,1.3965,2.6406
688,104.8512,88.0346,1.3311,1.4307,2.6484
689,105.0036,91.2623,1.3691,1.4473,2.6328
690,105.156,92.3077,1.3896,1.4541,2.5918
691,105.3084,93.2841,1.4072,1.4619,2.5391
692,105.4608,91.3969,1.418,1.4736,2.5059
693,105.6132,91.6205,1.4199,1.4814,2.4941
694,105.7656,92.3505,1.4277,1.4824,2.4902
695,105.918,90.4808,1.4385,1.4746,2.4863
696,106.0704,89.7397,1.4492,1.46,2.4863
697,106.2228,91.6013,1.4609,1.4453,2.4961
698,106.3752,92.8915,1.4678,1.4355,2.5176
699,106.5276,94.8702,1.4736,1.4326,2.543
700,106.68,90.4628,1.4854,1.4375,2.5645
701,106.8324,90.7583,1.5029,1.4512,2.5742
702,106.9848,89.6689,1.5195,1.4736,2.582
703,107.1372,95.2086,1.5293,1.5078,2.5977
704,107.28960000000001,96.6909,1.5391,1.5498,2.6113
705,107.44200000000001,96.4888,1.5527,1.5908,2.623
706,107.59440000000001,100.5541,1.5605,1.6191,2.6152
707,107.74680000000001,104.2902,1.5605,1.627,2.6094
708,107.89920000000001,104.5732,1.5576,1.6162,2.5957
