,depth,gr,d_res,s_res,den,vp
36,90.9828,8.1881,0.8384,0.7554,1.574,1.6334
37,91.1352,6.7295,0.8237,0.7524,1.5628,1.6405
38,91.2876,6.5285,0.8091,0.7686,1.572,1.6361
39,91.44,6.6042,0.7988,0.7891,1.5698,1.6291
40,91.5924,6.7913,0.7944,0.7983,1.5903,1.6256
41,91.7448,7.1778,0.7939,0.792,1.6129,1.6378
42,91.8972,6.9377,0.7969,0.7744,1.6123,1.6485
43,92.0496,7.1707,0.8018,0.7554,1.6064,1.6431
44,92.202,6.917,0.8037,0.7441,1.599,1.6485
45,92.3544,6.3795,0.7998,0.7432,1.5954,1.6378
46,92.5068,6.166,0.7905,0.749,1.5984,1.6449
47,92.6592,6.4866,0.7778,0.7568,1.5976,1.6378
48,92.8116,7.298,0.7686,0.7622,1.6083,1.6326
49,92.964,8.2379,0.7656,0.7612,1.6093,1.6326
50,93.1164,8.5198,0.7676,0.7559,1.6179,1.6326
51,93.2688,8.3542,0.7725,0.7495,1.6131,1.6334
52,93.4212,8.0202,0.7778,0.7446,1.6018,1.6361
53,93.5736,7.9659,0.7827,0.7437,1.5953,1.6352
54,93.726,8.4397,0.7856,0.7456,1.604,1.6299
55,93.8784,8.6463,0.7847,0.7495,1.6063,1.6291
56,94.0308,8.6357,0.7813,0.7539,1.6034,1.6291
57,94.1832,8.3008,0.7793,0.7578,1.5957,1.6343
58,94.3356,7.306,0.7788,0.7593,1.6052,1.6387
59,94.488,7.6352,0.7803,0.7598,1.607,1.6405
60,94.6404,7.7562,0.7837,0.7588,1.6044,1.6352
61,94.7928,8.3679,0.7881,0.7578,1.6055,1.6449
62,94.9452,8.4383,0.793,0.7578,1.6077,1.6458
63,95.0976,8.1486,0.7959,0.7588,1.6268,1.6511
64,95.25,9.2188,0.7964,0.7603,1.6212,1.6361
65,95.4024,9.3513,0.7939,0.7603,1.6166,1.6361
66,95.5548,10.052,0.7905,0.7583,1.6077,1.6361
67,95.7072,9.3653,0.7852,0.7554,1.6044,1.6369
68,95.8596,8.3955,0.7798,0.752,1.6066,1.6387
69,96.012,8.4281,0.7788,0.75,1.604,1.6317
70,96.1644,8.622,0.7803,0.7495,1.6126,1.6449
71,96.3168,10.0265,0.7822,0.751,1.6131,1.6458
72,96.4692,10.2524,0.7842,0.7534,1.61,1.6476
73,96.6216,9.2577,0.7871,0.7559,1.6036,1.6458
74,96.774,9.5434,0.7896,0.7568,1.6153,1.6422
75,96.9264,9.4292,0.7891,0.7573,1.6154,1.6282
76,97.0788,10.4448,0.7861,0.7559,1.6163,1.6396
77,97.2312,9.7904,0.7822,0.7544,1.6113,1.6239
78,97.3836,9.7949,0.7788,0.7529,1.6313,1.6431
79,97.536,9.0731,0.7764,0.752,1.642,1.6493
80,97.6884,8.4025,0.7764,0.7515,1.6329,1.6265
81,97.8408,8.4298,0.7783,0.7515,1.6235,1.6178
82,97.9932,10.2306,0.7813,0.7524,1.6173,1.6431
83,98.1456,11.1892,0.7856,0.7539,1.632,1.6747
84,98.298,11.9021,0.7905,0.7568,1.634,1.6502
85,98.4504,11.2374,0.7949,0.7622,1.6363,1.6547
86,98.6028,11.1667,0.7979,0.7686,1.6227,1.6494
87,98.7552,10.4059,0.7979,0.7744,1.6201,1.6529
88,98.9076,9.5948,0.7983,0.7778,1.6133,1.6738
89,99.06,9.5647,0.8013,0.7778,1.6148,1.6556
90,99.2124,8.4125,0.8047,0.7759,1.6039,1.6574
91,99.3648,9.2502,0.8062,0.7739,1.6044,1.6674
92,99.5172,9.5003,0.8066,0.7729,1.6029,1.6601
93,99.6696,10.2908,0.8062,0.7729,1.6051,1.652
94,99.822,9.6194,0.8062,0.7734,1.604,1.6458
95,99.9744,8.7503,0.8062,0.7734,1.5996,1.6282
96,100.1268,8.7005,0.8047,0.7715,1.6063,1.6213
97,100.2792,8.5885,0.8018,0.7681,1.6039,1.6273
98,100.4316,8.2917,0.7974,0.7637,1.6002,1.6273
99,100.584,8.4485,0.7935,0.7593,1.5845,1.6213
100,100.7364,9.255,0.7915,0.7568,1.5991,1.6221
101,100.8888,9.942,0.791,0.7554,1.6144,1.6273
102,101.0412,9.6158,0.7915,0.7549,1.6293,1.6326
103,101.1936,8.8681,0.7925,0.7554,1.6196,1.6369
104,101.346,8.9517,0.7925,0.7554,1.6243,1.6343
105,101.4984,9.9807,0.7925,0.7554,1.6224,1.623
106,101.6508,9.8152,0.7915,0.7544,1.6239,1.6221
107,101.8032,9.6584,0.7896,0.7529,1.6161,1.6221
108,101.9556,9.2393,0.7876,0.7515,1.6141,1.6273
109,102.108,10.1866,0.7861,0.7505,1.6125,1.6291
110,102.2604,10.9414,0.7856,0.7505,1.6042,1.6449
111,102.4128,10.5871,0.7861,0.751,1.5992,1.6265
112,102.5652,9.0721,0.7886,0.752,1.5926,1.6291
113,102.7176,8.7255,0.791,0.7544,1.597,1.6221
114,102.87,9.9332,0.7925,0.7563,1.5901,1.6317
115,103.0224,11.0304,0.7935,0.7583,1.583,1.6343
116,103.1748,10.9146,0.7939,0.7588,1.5574,1.6273
117,103.3272,9.5808,0.7949,0.7593,1.5385,1.6153
118,103.4796,9.1352,0.7979,0.7603,1.5412,1.6196
119,103.632,8.5958,0.8022,0.7622,1.5579,1.6247
120,103.7844,9.2888,0.8047,0.7661,1.5742,1.6282
121,103.9368,9.2834,0.8066,0.771,1.5705,1.6247
122,104.0892,9.7404,0.8091,0.7754,1.5705,1.6378
123,104.2416,9.4959,0.811,0.7778,1.5736,1.6387
124,104.394,8.7943,0.8115,0.7783,1.5788,1.6352
125,104.5464,7.7618,0.811,0.7783,1.5771,1.6387
126,104.6988,6.6671,0.8096,0.7788,1.5847,1.6405
127,104.8512,6.5568,0.8086,0.7808,1.5827,1.6431
128,105.0036,7.9425,0.8091,0.7842,1.5843,1.6431
129,105.156,8.0894,0.8105,0.7871,1.5686,1.6467
130,105.3084,8.7447,0.812,0.7891,1.5607,1.6378
131,105.4608,8.7847,0.8125,0.7896,1.5467,1.6574
132,105.6132,9.5616,0.8135,0.7891,1.5513,1.6538
133,105.7656,9.8899,0.8164,0.7876,1.5479,1.6396
134,105.918,9.1196,0.8203,0.7866,1.5459,1.6547
135,106.0704,8.7852,0.8223,0.7866,1.5351,1.6529
136,106.2228,8.8597,0.8228,0.7871,1.5387,1.6556
137,106.3752,9.2822,0.8228,0.7881,1.5382,1.6476
138,106.5276,8.6106,0.8228,0.7896,1.548,1.6422
139,106.68,8.2508,0.8218,0.7905,1.5531,1.6449
140,106.8324,8.2988,0.8198,0.791,1.5704,1.6583
141,106.9848,8.8873,0.8174,0.7905,1.5631,1.6619
142,107.1372,8.6037,0.8159,0.7896,1.5501,1.683
143,107.28960000000001,8.1356,0.8154,0.7886,1.5467,1.6775
144,107.44200000000001,8.2495,0.8149,0.7881,1.5653,1.6803
145,107.59440000000001,9.1154,0.814,0.7881,1.5842,1.6775
146,107.74680000000001,9.2054,0.812,0.7866,1.5928,1.6793
147,107.89920000000001,9.3155,0.8101,0.7837,1.5841,1.6905
148,108.05160000000001,9.458,0.8086,0.7783,1.5876,1.7104
149,108.20400000000001,9.6861,0.8076,0.7729,1.5968,1.7124
150,108.35640000000001,9.2399,0.8071,0.769,1.6028,1.6952
151,108.50880000000001,8.6561,0.8076,0.7676,1.6016,1.6683
152,108.66120000000001,7.8059,0.8086,0.769,1.6017,1.6674
153,108.81360000000001,7.8501,0.8096,0.772,1.6169,1.6458
154,108.96600000000001,7.7592,0.8105,0.7754,1.6249,1.6282
155,109.11840000000001,8.5683,0.8115,0.7788,1.6195,1.6369
156,109.27080000000001,8.3264,0.8149,0.7822,1.6132,1.611
157,109.42320000000001,8.1322,0.8203,0.7856,1.604,1.611
158,109.57560000000001,6.9029,0.8252,0.79,1.6038,1.6042
159,109.72800000000001,6.9364,0.8271,0.7944,1.5955,1.6204
160,109.88040000000001,6.7229,0.8276,0.7979,1.6102,1.6396
161,110.03280000000001,7.0882,0.8276,0.8003,1.6126,1.617
162,110.18520000000001,7.4636,0.8257,0.7993,1.6036,1.6017
163,110.33760000000001,7.2702,0.8223,0.7949,1.6002,1.6127
164,110.49000000000001,7.4138,0.8198,0.7881,1.605,1.6221
165,110.64240000000001,7.8693,0.8188,0.7803,1.6269,1.6326
166,110.79480000000001,8.3468,0.8184,0.7739,1.6246,1.6467
167,110.94720000000001,8.5411,0.8184,0.772,1.6179,1.652
168,111.09960000000001,8.138,0.8184,0.7744,1.6198,1.6556
169,111.25200000000001,8.6755,0.8198,0.7803,1.6231,1.6494
170,111.40440000000001,7.9773,0.8237,0.7866,1.6272,1.6511
171,111.55680000000001,7.8288,0.8271,0.7915,1.6243,1.6396
172,111.70920000000001,7.6446,0.8291,0.7935,1.6249,1.6291
173,111.86160000000001,7.6153,0.8296,0.7935,1.6337,1.6239
174,112.01400000000001,7.2983,0.8301,0.7925,1.6358,1.6273
175,112.16640000000001,6.742,0.8301,0.7925,1.6306,1.6221
176,112.31880000000001,7.2775,0.8301,0.7939,1.6188,1.6256
177,112.47120000000001,7.116,0.8296,0.7949,1.6104,1.6299
178,112.62360000000001,6.8804,0.8286,0.7954,1.6138,1.6317
179,112.77600000000001,7.0021,0.8271,0.7949,1.6105,1.6334
180,112.92840000000001,7.6525,0.8267,0.7939,1.6104,1.6317
181,113.08080000000001,8.727,0.8257,0.7939,1.6033,1.6422
182,113.23320000000001,8.5045,0.8252,0.7944,1.6113,1.6784
183,113.38560000000001,8.6683,0.8223,0.7949,1.6166,1.6784
184,113.53800000000001,7.4731,0.8188,0.7935,1.6229,1.6692
185,113.69040000000001,7.45,0.8169,0.79,1.6289,1.6692
186,113.84280000000001,7.2449,0.8169,0.7852,1.6238,1.6674
187,113.99520000000001,7.5596,0.8174,0.7808,1.6258,1.6711
188,114.14760000000001,7.2023,0.8174,0.7778,1.6224,1.6775
189,114.30000000000001,6.9148,0.8184,0.7778,1.6247,1.6784
190,114.45240000000001,7.338,0.8203,0.7798,1.6136,1.6511
191,114.60480000000001,7.7838,0.8208,0.7822,1.6086,1.6449
192,114.75720000000001,7.8208,0.8208,0.7847,1.6011,1.6422
193,114.90960000000001,7.8023,0.8208,0.7856,1.6075,1.6431
194,115.06200000000001,7.6375,0.8213,0.7856,1.6166,1.6511
195,115.21440000000001,7.2374,0.8213,0.7847,1.6176,1.6467
196,115.36680000000001,6.9695,0.8208,0.7837,1.6194,1.6458
197,115.51920000000001,7.6116,0.8208,0.7822,1.6038,1.6467
198,115.67160000000001,8.3856,0.8203,0.7808,1.6052,1.6476
199,115.82400000000001,7.6979,0.8208,0.7788,1.6019,1.6494
200,115.97640000000001,6.9369,0.8203,0.7764,1.5995,1.6547
201,116.12880000000001,6.554,0.8193,0.7744,1.5939,1.6565
202,116.28120000000001,7.1301,0.8179,0.7729,1.5944,1.6574
203,116.43360000000001,7.0733,0.8179,0.7729,1.6139,1.661
204,116.58600000000001,6.2953,0.8179,0.7739,1.6299,1.6638
205,116.73840000000001,5.9139,0.8184,0.7759,1.6267,1.6458
206,116.89080000000001,5.7973,0.8218,0.7783,1.6156,1.6502
207,117.04320000000001,6.2104,0.8271,0.7822,1.6256,1.6458
208,117.19560000000001,6.8053,0.8306,0.7866,1.6485,1.6538
209,117.34800000000001,7.2037,0.8315,0.791,1.6494,1.6915
210,117.50040000000001,6.7327,0.832,0.7944,1.6356,1.6933
211,117.65280000000001,6.0283,0.832,0.7964,1.6333,1.684
212,117.80520000000001,5.533,0.832,0.7964,1.6225,1.6858
213,117.95760000000001,6.3905,0.832,0.7954,1.6274,1.6915
214,118.11000000000001,6.3001,0.8301,0.7944,1.6176,1.6793
215,118.26240000000001,6.895,0.8267,0.7944,1.6223,1.6747
216,118.41480000000001,6.2307,0.8242,0.7959,1.6156,1.6502
217,118.56720000000001,6.72,0.8232,0.7979,1.6086,1.6476
218,118.71960000000001,6.4864,0.8237,0.7998,1.6047,1.6422
219,118.87200000000001,6.8834,0.8252,0.8003,1.6029,1.6282
220,119.02440000000001,7.0426,0.8252,0.7988,1.6081,1.6352
221,119.17680000000001,7.5565,0.8223,0.7949,1.6164,1.6387
222,119.32920000000001,7.7692,0.8193,0.7891,1.6172,1.6361
223,119.48160000000001,7.3324,0.8164,0.7827,1.6183,1.6093
224,119.63400000000001,6.8849,0.813,0.7783,1.613,1.6118
225,119.78640000000001,7.1737,0.8101,0.7759,1.6137,1.6127
226,119.93880000000001,7.195,0.8076,0.7754,1.6153,1.6153
227,120.09120000000001,7.3355,0.8057,0.7759,1.6166,1.6084
228,120.24360000000001,6.4759,0.8047,0.7764,1.6177,1.5966
229,120.39600000000002,6.3574,0.8042,0.7749,1.6255,1.6034
230,120.54840000000002,6.5591,0.8037,0.772,1.6333,1.6017
231,120.70080000000002,6.7002,0.8047,0.7671,1.6396,1.5966
232,120.85320000000002,7.3326,0.8052,0.7622,1.6367,1.6008
233,121.00560000000002,7.5459,0.8042,0.7593,1.6323,1.6008
234,121.15800000000002,7.4548,0.8027,0.7588,1.6264,1.5941
235,121.31040000000002,6.4047,0.8027,0.7607,1.616,1.5867
236,121.46280000000002,6.347,0.8027,0.7642,1.6184,1.6042
237,121.61520000000002,6.7125,0.8042,0.7686,1.6161,1.5966
238,121.76760000000002,7.6084,0.8076,0.7715,1.6154,1.5916
239,121.92000000000002,7.3761,0.8091,0.7729,1.6116,1.5842
240,122.07240000000002,6.9792,0.8091,0.7729,1.615,1.5966
241,122.22480000000002,6.6113,0.8081,0.7715,1.6206,1.59
242,122.37720000000002,6.4633,0.8066,0.7705,1.6171,1.5867
243,122.52960000000002,7.1867,0.8057,0.7705,1.6042,1.5925
244,122.68200000000002,7.9162,0.8047,0.7734,1.6019,1.5908
245,122.83440000000002,7.7955,0.8066,0.7783,1.6048,1.59
246,122.98680000000002,7.1104,0.812,0.7847,1.6074,1.5941
247,123.13920000000002,6.6006,0.8223,0.7905,1.603,1.6017
248,123.29160000000002,6.8883,0.834,0.7959,1.602,1.6
249,123.44400000000002,7.1314,0.8403,0.8013,1.6038,1.5826
250,123.59640000000002,7.0132,0.8413,0.8076,1.5982,1.6042
251,123.74880000000002,6.5426,0.8408,0.8125,1.5936,1.5933
252,123.90120000000002,6.7236,0.8398,0.814,1.6094,1.5892
253,124.05360000000002,6.1832,0.8379,0.8091,1.6136,1.5867
254,124.20600000000002,6.3377,0.8325,0.7979,1.5952,1.5925
255,124.35840000000002,6.0731,0.8228,0.7827,1.5839,1.6034
256,124.51080000000002,6.2533,0.811,0.7686,1.5718,1.6067
257,124.66320000000002,6.5543,0.8022,0.7588,1.5809,1.6067
258,124.81560000000002,7.1086,0.7983,0.7559,1.5683,1.5768
259,124.96800000000002,7.6041,0.7979,0.7583,1.5733,1.5966
260,125.12040000000002,7.5192,0.7983,0.7632,1.5768,1.5834
261,125.27280000000002,7.374,0.7998,0.7681,1.5821,1.6153
262,125.42520000000002,7.0449,0.7998,0.7705,1.5818,1.6161
263,125.57760000000002,6.9097,0.7998,0.77,1.5821,1.6213
264,125.73000000000002,7.1857,0.7998,0.7676,1.5906,1.6118
265,125.88240000000002,7.4036,0.7998,0.7646,1.5892,1.6076
266,126.03480000000002,6.9714,0.8003,0.7627,1.5812,1.6187
267,126.18720000000002,6.856,0.8008,0.7637,1.5862,1.6291
268,126.33960000000002,6.6941,0.8013,0.7686,1.5947,1.6282
269,126.49200000000002,6.874,0.8042,0.7759,1.6134,1.6187
270,126.64440000000002,6.3915,0.8091,0.7837,1.6044,1.6247
271,126.79680000000002,6.1852,0.812,0.7896,1.6048,1.6431
272,126.94920000000002,6.4884,0.8125,0.7915,1.6057,1.6422
273,127.10160000000002,6.7376,0.8125,0.7905,1.615,1.6352
274,127.25400000000002,7.4637,0.812,0.7876,1.6326,1.6343
275,127.40640000000002,7.4967,0.8101,0.7837,1.6264,1.6757
276,127.55880000000002,7.3345,0.8057,0.7783,1.6127,1.7162
277,127.71120000000002,6.7849,0.8003,0.7715,1.6144,1.724
278,127.86360000000002,6.5551,0.7954,0.7646,1.631,1.7057
279,128.01600000000002,6.3623,0.7925,0.7598,1.6392,1.6943
280,128.16840000000002,6.2417,0.791,0.7583,1.6202,1.7028
281,128.32080000000002,5.716,0.791,0.7607,1.6254,1.7133
282,128.47320000000002,6.4694,0.792,0.7666,1.6306,1.6812
283,128.62560000000002,7.2099,0.7959,0.7739,1.6334,1.6538
284,128.77800000000002,7.8887,0.8037,0.7803,1.6285,1.6556
